country_code,reference_year,total_current_expenditure(PPP),total_current_revenues(PPP),total_academic_staff(FTE),total_staff_(FTE),total_students_enrolled_ISCED_5-7,total_graduates_ISCED_5-7,total_students_enrolled_at_ISCED_8,total_graduates_at_ISCED_8,erasmus_total_incoming_students,erasmus_total_outgoing_students,total_core_budget(PPP),student_fees_funding(PPP),total_third_party_funding(PPP),share_of_women_academic_staff,share_of_women_students_ISCED_5-7,PhD_intensity,share_of_foreigners_students_ISCED_5-7
MK,2015,0.0,0.0,0.0,0.0,3545.3571428571427,0.0,0.0,0.0,7.857142857142857,14.214285714285714,0.0,0.0,0.0,0.27656939576428574,0.0,0.0,0.0
MK,2016,0.0,0.0,0.0,0.0,3051.375,0.0,0.0,0.0,10.9375,20.4375,0.0,0.0,0.0,0.326801334175,0.0,0.0,0.0
MT,2011,84878263.11,103684985.1,791.0,1550.0,10023.0,3345.0,73.0,19.0,407.0,123.0,82718754.23,9901585.525,7157481.815,0.3208685163,0.5828594233,0.005680119581,0.04649306595
MT,2012,97908020.84,106319824.7,932.0,1763.0,13248.0,4349.0,78.0,24.0,477.0,161.0,82136854.36,11157037.12,9443528.027,0.3113865221,0.5539704106,0.005518510002,0.05812198068
MT,2013,47088685.050500005,48049665.315,549.0,989.0,6121.5,1887.5,47.5,11.0,247.5,110.0,38452185.8055,5238446.55,2714477.95,0.41320687185,0.48787609865,0.0035188739605,0.041347698895
MT,2014,49096030.417,50393210.226,585.0,1023.5,6345.5,1907.5,56.5,15.0,262.5,180.5,40571277.5865,5107589.2886500005,2650244.7855,0.3788971406,0.5365322613,0.0047229219145,0.031638624725
MT,2015,52347103.508999996,54387534.860999994,606.5,1055.0,6389.5,2131.5,64.5,18.5,259.0,203.0,43483107.9505,5872171.449,2803072.7895,0.3913971249,0.5300263024,0.00612177366,0.05142204958
MT,2016,52858216.91150001,53187602.247,618.0,1049.5,6593.0,2077.0,74.5,27.0,292.5,230.0,41043826.475,6969990.813499999,2968782.465,0.38770517385000003,0.5386491447499999,0.008050089445,0.056148731560000005
NL,2011,141341643.25594735,154411617.0696316,756.0018000394736,1309.8032710463158,11720.649122807017,2577.245614035088,152.74766842105265,67.59649122807018,141.17543859649123,154.42105263157896,95485104.85782458,18607459.986805268,28791206.211328242,0.4232384672052632,0.5156073356666666,0.013041247303508773,0.0
NL,2012,150548907.06849086,164339176.82998174,796.9656426661821,1367.003976974,12380.654545454545,2451.0363636363636,158.35729454545452,75.2,150.6,175.6,101222401.9685636,20654399.55834182,30770978.7160669,0.42186712022000006,0.4954475245345455,0.01607229931781818,0.0
NL,2013,152570779.14876792,167344802.5920892,799.1777339285715,1363.6453390000001,12368.17857142857,2467.8214285714284,155.38680535714283,80.23214285714286,149.71428571428572,182.73214285714286,103382455.61005357,21364112.238601774,30204379.979868744,0.3688759217035713,0.5126004238767855,0.019786150562357142,0.0
NL,2014,153301011.35878572,169568501.85660714,823.7330152637502,1386.2272790160712,12506.92857142857,2575.4464285714284,156.13498214285715,82.41071428571429,162.89285714285714,214.83928571428572,104716375.43529463,21909318.108460713,30685378.284671962,0.42993343036071424,0.4803748076053571,0.019405779794821425,0.0
NL,2015,163975052.42303568,177724265.72091073,847.670170594464,1417.5573986092857,12687.892857142857,2622.375,155.75385892857142,85.05357142857143,188.91071428571428,237.03571428571428,108714123.24776785,23516484.652350012,33308868.335798584,0.10869195449464285,0.48987787462321425,0.020024130578571425,0.0
NL,2016,163906212.62862492,176327844.59346437,871.341973214286,1451.3146654107147,12867.55357142857,2712.6785714285716,159.00474285714284,88.46428571428571,201.10714285714286,253.32142857142858,107719496.89201783,23735924.339464296,32227645.280368216,0.11168017592142856,0.4964413598089286,0.020651402446964284,0.0
NO,2011,53162631.17203998,57887943.03158,377.1479999999999,638.8780000000003,4564.4,1248.8,180.76,26.4,72.64,31.6,43303816.94787999,2498183.20466276,9918669.6573312,0.39783238662600007,0.569412778018,0.01656157169892,0.05246078558888002
